filename,wordcount,valence_min,valence_max,valence_avg,valence_std,extremity_min,extremity_max,extremity_avg,extremity_std,extremity_min_pos,extremity_max_pos,extremity_avg_pos,extremity_std_pos,extremity_min_neg,extremity_max_neg,extremity_avg_neg,extremity_std_neg,extremity_PosMinNeg,emotionality_min,emotionality_max,emotionality_avg,emotionality_std,emotionality_min_pos,emotionality_max_pos,emotionality_avg_pos,emotionality_std_pos,emotionality_min_neg,emotionality_max_neg,emotionality_avg_neg,emotionality_std_neg,emotionality_PosMinNeg,count_unique_evaluative_pos,count_total_evaluative_pos,count_unique_evaluative_neg,count_total_evaluative_neg,count_unique_evaluative,count_total_evaluative,count_evaluative_PosMinNeg,ambivalent,pos_dichotomous,certainty_min,certainty_max,certainty_avg,certainty_std,count_unique_certainty,count_total_certainty
article_021.txt,1057,1.12,7.09,3.344,2.235,0.22,3.38,2.279,0.94,0.34,2.59,1.796,0.909,0.22,3.38,2.498,0.909,-0.702,1.68,5.97,3.928,1.273,1.68,3.94,2.632,1.118,2.8,5.97,4.517,0.842,-1.885,5,5,10,11,15,16,-6,1,,1.92,7.93,6.293,1.3,32,35
article_022.txt,2146,0.38,8.44,5.529,2.95,0.14,4.12,2.922,0.968,2.09,3.94,3.334,0.503,0.14,4.12,2.323,1.18,1.011,1.19,8.03,4.769,1.678,2.52,8.03,5.177,1.725,1.19,6.06,4.175,1.485,1.001,12,16,9,11,21,27,5,1,,1.92,8.03,6.19,1.178,63,95
article_023.txt,1306,0.54,7.89,5.078,2.822,0.43,3.96,2.706,0.791,0.43,3.39,2.463,0.767,2.43,3.96,3.191,0.63,-0.729,1.41,7.41,4.11,1.673,1.41,7.41,3.529,1.525,3.5,6.83,5.274,1.385,-1.746,12,14,6,7,18,21,7,1,,1.92,8.59,6.129,1.612,34,38
article_024.txt,1497,1.25,8.28,5.508,2.701,1.14,3.78,2.696,0.791,1.86,3.78,2.963,0.671,1.14,3.25,2.25,0.83,0.713,1.55,7.66,4.881,1.868,1.55,7.41,4.533,1.847,2.8,7.66,5.46,1.919,-0.927,9,10,6,6,15,16,4,1,,1.92,8.28,5.882,1.602,35,45
article_025.txt,1378,1.32,8.45,6.111,2.281,0.34,3.95,2.577,0.96,0.34,3.95,2.692,0.956,1.1,3.18,2.173,0.991,0.52,1.19,8.03,3.979,2.196,1.34,8.03,4.05,2.288,1.19,6.37,3.732,2.131,0.317,12,14,4,4,16,18,10,1,,1.92,8.39,6.567,1.127,29,39
article_026.txt,1752,0.52,8.45,5.394,2.82,0.24,3.98,2.709,1.132,0.7,3.95,3.021,0.991,0.24,3.98,2.249,1.191,0.773,1.35,8.03,5.395,2.324,1.81,8.03,6.094,2.24,1.35,8,4.364,2.092,1.73,14,31,15,21,29,52,10,1,,1.92,8.81,6.227,1.432,51,66
article_027.txt,1387,2.68,8.44,7.039,1.67,0.79,3.94,2.887,0.875,2.3,3.94,3.131,0.606,0.79,1.82,1.305,0.728,1.826,1.41,7.07,4.229,1.234,1.41,7.07,4.229,1.33,4,4.45,4.225,0.318,0.004,9,13,2,2,11,15,11,1,,1.92,8.1,6.441,1.524,38,41
article_028.txt,1094,0.63,8,5.936,2.086,0.47,3.88,2.141,1.26,0.47,3.5,1.967,1.181,3.88,3.88,3.88,,-1.913,2.04,7.31,4.063,1.846,2.04,7.31,3.81,1.733,6.59,6.59,6.59,,-2.78,8,10,1,1,9,11,9,1,,1.92,7.81,5.774,1.49,32,34
article_029.txt,1360,0.52,8.45,4.353,3.127,1.5,3.98,2.94,0.763,2.66,3.95,3.191,0.384,1.5,3.98,2.744,0.939,0.447,2.03,6.9,4.559,1.546,3.53,5.24,4.37,0.69,2.03,6.9,4.707,2.016,-0.337,6,7,9,9,15,16,-2,1,,1.92,8.28,6.159,1.551,26,29
article_030.txt,2734,1.52,8.22,5.509,2.307,0.14,3.72,2.333,0.884,0.42,3.72,2.351,0.945,0.14,2.98,2.286,0.752,0.065,1.79,6.9,3.974,1.531,1.79,6.42,3.766,1.559,2.41,6.9,4.485,1.396,-0.719,23,27,10,11,33,38,16,1,,0.97,8.28,5.735,1.573,67,84
article_031.txt,1124,0.69,8.41,6.337,2.95,0.72,3.91,3.131,1.095,3.26,3.91,3.478,0.283,0.72,3.81,2.265,2.185,1.213,4.51,8.26,5.747,1.358,4.52,8.26,5.81,1.471,4.51,6.67,5.59,1.527,0.22,5,5,2,2,7,7,3,1,,1.92,7.52,6.416,1.238,28,36
article_032.txt,1253,0.54,7.04,5.504,1.84,0.14,3.96,1.824,0.983,0.47,2.54,1.786,0.89,0.14,3.96,1.968,1.4,-0.182,1.19,5.86,3.134,1.21,1.69,5.04,3.029,1.036,1.19,5.86,3.532,1.827,-0.503,11,19,5,5,16,24,14,1,,1.92,8.46,6.16,1.345,30,31
article_033.txt,1302,1,8.27,3.718,2.96,1.46,3.77,2.86,0.712,2.5,3.77,3.117,0.645,1.46,3.5,2.731,0.75,0.386,1.8,8.03,4.097,2.139,1.93,8.03,4.62,2.897,1.8,6.21,3.835,1.833,0.785,4,4,7,8,11,12,-4,1,,1.1,8.46,5.942,1.617,35,36
article_034.txt,1008,0.5,7.16,3.228,2.408,0.14,4,2.444,1.089,1.64,2.66,2.11,0.448,0.14,4,2.573,1.244,-0.463,1.73,7.16,4.517,1.509,2.96,4.93,4.07,0.824,1.73,7.16,4.688,1.698,-0.618,5,5,12,13,17,18,-8,1,,1.92,8.15,5.993,1.568,33,36
